"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Благоевград","151333","21655","1222","4391","7631","1370","2125","1",14.31,"201309"
"Бургас","188448","13657","799","2974","3171","729","499","1",7.25,"201309"
"Варна","222697","14562","1149","3033","3362","776","386","1",6.54,"201309"
"Велико Търново","108453","10892","1091","2014","3254","1132","441","1",10.04,"201309"
"Видин","37828","7881","1053","1629","2652","1278","237","1",20.83,"201309"
"Враца","74912","14901","1403","3182","5368","1384","270","1",19.89,"201309"
"Габрово","54178","3579","322","576","857","357","325","1",6.61,"201309"
"Добрич","79873","8719","438","1458","2888","411","181","1",10.92,"201309"
"Кърджали","60746","9518","392","1213","4198","504","620","1",15.67,"201309"
"Кюстендил","56911","8097","788","1643","2935","865","368","1",14.23,"201309"
"Ловеч","55868","8856","610","1741","3505","558","395","1",15.85,"201309"
"Монтана","60045","11873","1223","2475","4458","1195","277","1",19.77,"201309"
"Пазарджик","115297","18231","795","3789","7474","701","246","1",15.81,"201309"
"Перник","60837","6211","413","1281","1485","322","115","1",10.21,"201309"
"Плевен","107641","17493","1517","3472","6428","1504","928","1",16.25,"201309"
"Пловдив","302681","29552","1447","6816","10200","1327","1173","1",9.76,"201309"
"Разград","52154","9106","576","1352","4056","620","84","1",17.46,"201309"
"Русе","102880","10383","667","1766","2760","634","640","1",10.09,"201309"
"Силистра","45518","8459","441","1429","3463","453","104","1",18.58,"201309"
"Сливен","78097","14594","573","3658","6608","490","148","2",18.69,"201309"
"Смолян","58440","11359","651","1529","3688","620","744","1",19.44,"201309"
"гр. София","665475","22831","1854","4626","2703","1842","1569","1",3.43,"201309"
"Софийска","109181","14131","794","3509","4671","822","1884","0",12.94,"201309"
"Стара Загора","147697","14019","1166","3294","4494","1195","477","1",9.49,"201309"
"Търговище","49168","9130","501","1282","4322","552","304","1",18.57,"201309"
"Хасково","104465","13315","635","2834","4201","555","508","1",12.75,"201309"
"Шумен","76138","12973","602","2351","5296","619","287","2",17.04,"201309"
"Ямбол","55779","8586","404","2013","3716","259","222","1",15.39,"201309"
"Благоевград","151333","21779","1268","4367","7518","1131","2109","7",14.39,"201310"
"Бургас","188448","17230","955","3729","3160","571","486","18",9.14,"201310"
