oblast,period,ikonaktiwni,regbezr,pod29bezr
Общо за страната,201001,3704336,366887,67116
Благоевград,201001,170689,20476,3709
Бургас,201001,201006,14624,2677
Варна,201001,218272,17578,3549
Велико Търново,201001,135465,13909,2168
Видин,201001,56478,8685,1670
Враца,201001,97742,13478,2372
Габрово,201001,66804,4821,617
Добрич,201001,105343,12119,2087
Кърджали,201001,82379,8988,1375
Кюстендил,201001,73521,8272,1672
Ловеч,201001,77600,10556,1630
Монтана,201001,79897,12602,2259
Пазарджик,201001,149030,19094,3895
Перник,201001,67851,6115,1134
Плевен,201001,148178,17489,2848
Пловдив,201001,329791,28253,6116
Разград,201001,73857,11298,1617
Русе,201001,121067,12127,1829
Силистра,201001,67108,9728,1571
Сливен,201001,102836,12142,2851
Смолян,201001,70648,12046,1780
гр.София,201001,551815,17598,3054
Софийска,201001,125456,14282,3235
Стара Загора,201001,172917,14127,3254
Търговище,201001,66835,11194,1528
Хасково,201001,125042,12686,2417
Шумен,201001,95785,14947,2712
Ямбол,201001,70924,7653,1490
Общо за страната,201002,3704336,380244,70447
Благоевград,201002,170689,21441,4007
Бургас,201002,201006,14772,2680
Варна,201002,218272,18310,3839
Велико Търново,201002,135465,14139,2216
Видин,201002,56478,8949,1729
Враца,201002,97742,13892,2494
Габрово,201002,66804,4853,599
Добрич,201002,105343,12731,2252
Кърджали,201002,82379,9266,1438
Кюстендил,201002,73521,8555,1764
Ловеч,201002,77600,10677,1649
Монтана,201002,79897,13160,2371
Пазарджик,201002,149030,19802,4091
Перник,201002,67851,6302,1182
Плевен,201002,148178,17925,2921
Пловдив,201002,329791,29758,6555
Разград,201002,73857,11803,1690
Русе,201002,121067,12659,1973
Силистра,201002,67108,10182,1697
Сливен,201002,102836,12267,2862
Смолян,201002,70648,12792,1915
гр.София,201002,551815,19125,3277
Софийска,201002,125456,14878,3422
Стара Загора,201002,172917,14143,3252
Търговище,201002,66835,11709,1665
Хасково,201002,125042,12921,2458
Шумен,201002,95785,15446,2916
Ямбол,201002,70924,7787,1533
Общо за страната,201003,3704336,375607,70033
Благоевград,201003,170689,20924,3861
Бургас,201003,201006,14853,2688
Варна,201003,218272,17712,3629
Велико Търново,201003,135465,13993,2221
Видин,201003,56478,8718,1685
Враца,201003,97742,13805,2550
Габрово,201003,66804,4822,611
Добрич,201003,105343,12368,2112
Кърджали,201003,82379,9306,1461
Кюстендил,201003,73521,8408,1767
Ловеч,201003,77600,10520,1652
Монтана,201003,79897,12767,2301
Пазарджик,201003,149030,19748,4180
Перник,201003,67851,6129,1158
Плевен,201003,148178,17805,2977
Пловдив,201003,329791,29722,6603
Разград,201003,73857,11328,1675
Русе,201003,121067,12572,1979
Силистра,201003,67108,9998,1671
Сливен,201003,102836,12578,2931
Смолян,201003,70648,12950,1970
гр.София,201003,551815,19174,3202
Софийска,201003,125456,14316,3283
Стара Загора,201003,172917,14141,3367
Търговище,201003,66835,11569,1652
Хасково,201003,125042,12599,2434
Шумен,201003,95785,14776,2749
Ямбол,201003,70924,8006,1664
Общо за страната,201004,3704336,368666,67583
Благоевград,201004,170689,21205,3852
Бургас,201004,201006,13947,2482
Варна,201004,218272,16727,3359
Велико Търново,201004,135465,13475,2062
Видин,201004,56478,8682,1632
Враца,201004,97742,13864,2529
Габрово,201004,66804,4858,616
Добрич,201004,105343,11512,1919
Кърджали,201004,82379,9306,1366
Кюстендил,201004,73521,8569,1759
Ловеч,201004,77600,10232,1595
Монтана,201004,79897,12946,2278
Пазарджик,201004,149030,19726,4113
Перник,201004,67851,6106,1103
Плевен,201004,148178,17334,2854
Пловдив,201004,329791,28368,6335
Разград,201004,73857,11048,1625
Русе,201004,121067,12167,1913
Силистра,201004,67108,9673,1592
Сливен,201004,102836,12434,2828
Смолян,201004,70648,12872,1880
гр.София,201004,551815,19140,3119
Софийска,201004,125456,14374,3226
Стара Загора,201004,172917,13924,3270
Търговище,201004,66835,11299,1571
Хасково,201004,125042,12301,2333
Шумен,201004,95785,14692,2692
Ямбол,201004,70924,7885,1680
Общо за страната,201005,3704336,352968,62843
Благоевград,201005,170689,20853,3720
Бургас,201005,201006,12163,2116
Варна,201005,218272,15224,2947
Велико Търново,201005,135465,12645,1883
Видин,201005,56478,8460,1541
Враца,201005,97742,13498,2380
Габрово,201005,66804,4609,562
Добрич,201005,105343,10445,1691
Кърджали,201005,82379,8936,1246
Кюстендил,201005,73521,8308,1630
Ловеч,201005,77600,9974,1543
Монтана,201005,79897,12582,2175
Пазарджик,201005,149030,19042,3866
Перник,201005,67851,5950,1031
Плевен,201005,148178,16916,2675
Пловдив,201005,329791,26994,5947
Разград,201005,73857,10518,1499
Русе,201005,121067,11629,1746
Силистра,201005,67108,9297,1504
Сливен,201005,102836,12058,2713
Смолян,201005,70648,12733,1771
гр.София,201005,551815,19124,3040
Софийска,201005,125456,14144,3132
Стара Загора,201005,172917,12460,2745
Търговище,201005,66835,10988,1469
Хасково,201005,125042,11795,2218
Шумен,201005,95785,14164,2451
Ямбол,201005,70924,7459,1602
Общо за страната,201006,3704336,343009,60577
Благоевград,201006,170689,20465,3607
Бургас,201006,201006,11078,1802
Варна,201006,218272,14528,2795
Велико Търново,201006,135465,12137,1851
Видин,201006,56478,8398,1524
Враца,201006,97742,13323,2345
Габрово,201006,66804,4420,518
Добрич,201006,105343,9436,1546
Кърджали,201006,82379,8769,1184
Кюстендил,201006,73521,8150,1557
Ловеч,201006,77600,9733,1512
Монтана,201006,79897,12258,2096
Пазарджик,201006,149030,18476,3708
Перник,201006,67851,5894,1007
Плевен,201006,148178,16469,2572
Пловдив,201006,329791,26429,5801
Разград,201006,73857,10281,1438
Русе,201006,121067,11136,1628
Силистра,201006,67108,9006,1419
Сливен,201006,102836,11707,2654
Смолян,201006,70648,12209,1631
гр.София,201006,551815,19099,2979
Софийска,201006,125456,14047,3082
Стара Загора,201006,172917,12546,2886
Търговище,201006,66835,10732,1414
Хасково,201006,125042,11295,2125
Шумен,201006,95785,13706,2312
Ямбол,201006,70924,7282,1584
Общо за страната,201007,3704336,341999,61440
Благоевград,201007,170689,20318,3684
Бургас,201007,201006,10817,1821
Варна,201007,218272,14261,2776
Велико Търново,201007,135465,12083,1900
Видин,201007,56478,8205,1491
Враца,201007,97742,13415,2337
Габрово,201007,66804,4266,518
Добрич,201007,105343,9172,1519
Кърджали,201007,82379,8657,1177
Кюстендил,201007,73521,8056,1543
Ловеч,201007,77600,9623,1504
Монтана,201007,79897,12358,2147
Пазарджик,201007,149030,18263,3723
Перник,201007,67851,5950,1057
Плевен,201007,148178,16649,2607
Пловдив,201007,329791,26737,5976
Разград,201007,73857,10257,1442
Русе,201007,121067,10977,1694
