"nuts3ekatte","laucode","obshtina","period","ikonaktiwni","regbezr"
"VID","VID01","Белоградчик","201001",3828,989
"VID","VID01","Белоградчик","201002",3828,1008
"VID","VID01","Белоградчик","201003",3828,943
"VID","VID01","Белоградчик","201004",3828,920
"VID","VID01","Белоградчик","201005",3828,914
"VID","VID01","Белоградчик","201006",3828,924
"VID","VID01","Белоградчик","201007",3828,960
"VID","VID01","Белоградчик","201008",3828,974
"VID","VID01","Белоградчик","201009",3828,957
"VID","VID01","Белоградчик","201010",3828,783
"VID","VID01","Белоградчик","201011",3828,803
"VID","VID01","Белоградчик","201012",3828,824
"VID","VID01","Белоградчик","201101",2741,816
"VID","VID01","Белоградчик","201102",2741,810
"VID","VID01","Белоградчик","201103",2741,783
"VID","VID01","Белоградчик","201104",2741,865
"VID","VID01","Белоградчик","201105",2741,840
"VID","VID01","Белоградчик","201106",2741,784
"VID","VID01","Белоградчик","201107",2741,799
"VID","VID01","Белоградчик","201108",2741,796
"VID","VID01","Белоградчик","201109",2741,787
"VID","VID01","Белоградчик","201110",2741,670
"VID","VID01","Белоградчик","201111",2741,707
"VID","VID01","Белоградчик","201112",2741,713
"VID","VID01","Белоградчик","201201",2741,746
"VID","VID01","Белоградчик","201202",2741,764
"VID","VID01","Белоградчик","201203",2741,802
"VID","VID01","Белоградчик","201204",2741,905
"VID","VID01","Белоградчик","201205",2741,940
"VID","VID01","Белоградчик","201206",2741,1020
"VID","VID01","Белоградчик","201207",2741,1033
"VID","VID01","Белоградчик","201208",2741,926
"VID","VID01","Белоградчик","201209",2741,923
"VID","VID01","Белоградчик","201210",2741,881
"VID","VID01","Белоградчик","201211",2741,875
"VID","VID01","Белоградчик","201212",2741,794
"VID","VID01","Белоградчик","201301",2741,678
"VID","VID01","Белоградчик","201302",2741,651
"VID","VID01","Белоградчик","201303",2741,626
"VID","VID01","Белоградчик","201304",2741,687
"VID","VID01","Белоградчик","201305",2741,757
"VID","VID01","Белоградчик","201306",2741,791
"VID","VID01","Белоградчик","201307",2741,858
"VID","VID01","Белоградчик","201308",2741,812
"VID","VID01","Белоградчик","201309",2741,695
"VID","VID01","Белоградчик","201310",2741,741
"VID","VID01","Белоградчик","201311",2741,796
"VID","VID01","Белоградчик","201312",2741,821
"VID","VID01","Белоградчик","201401",2741,820
"VID","VID01","Белоградчик","201402",2741,800
"VID","VID01","Белоградчик","201403",2741,940
"VID","VID01","Белоградчик","201404",2741,1097
"VID","VID01","Белоградчик","201405",2741,1033
"VID","VID01","Белоградчик","201406",2741,1033
"VID","VID01","Белоградчик","201407",2741,1034
"VID","VID01","Белоградчик","201408",2741,1031
"VID","VID01","Белоградчик","201409",2741,1046
"VID","VID01","Белоградчик","201410",2741,1041
"VID","VID01","Белоградчик","201411",2741,1069
"VID","VID01","Белоградчик","201412",2741,1012
"VID","VID01","Белоградчик","201501",2741,1014
"VID","VID01","Белоградчик","201502",2741,974
"VID","VID01","Белоградчик","201503",2741,1001
"VID","VID01","Белоградчик","201504",2741,954
"VID","VID01","Белоградчик","201505",2741,950
"VID","VID01","Белоградчик","201506",2741,908
"VID","VID01","Белоградчик","201507",2741,876
"VID","VID01","Белоградчик","201508",2741,886
"VID","VID01","Белоградчик","201509",2741,901
"VID","VID01","Белоградчик","201510",2741,952
"VID","VID01","Белоградчик","201511",2741,972
"VID","VID01","Белоградчик","201512",2741,960
"VID","VID01","Белоградчик","201601",2741,931
"VID","VID01","Белоградчик","201602",2741,856
"VID","VID01","Белоградчик","201603",2741,826
"VID","VID01","Белоградчик","201604",2741,797
"VID","VID01","Белоградчик","201605",2741,780
"VID","VID01","Белоградчик","201606",2741,735
"VID","VID01","Белоградчик","201607",2741,732
"VID","VID01","Белоградчик","201608",2741,757
"VID","VID01","Белоградчик","201609",2741,756
"VID","VID01","Белоградчик","201610",2741,760
"VID","VID01","Белоградчик","201611",2741,778
"VID","VID01","Белоградчик","201612",2741,778
"VID","VID01","Белоградчик","201701",2741,762
"VID","VID01","Белоградчик","201702",2741,739
"VID","VID01","Белоградчик","201703",2741,655
"VID","VID01","Белоградчик","201704",2741,640
"VID","VID01","Белоградчик","201705",2741,636
"VID","VID01","Белоградчик","201706",2741,627
"VID","VID01","Белоградчик","201707",2741,620
"VID","VID01","Белоградчик","201708",2741,643
"VID","VID01","Белоградчик","201709",2741,632
"VID","VID01","Белоградчик","201710",2741,642
"VID","VID01","Белоградчик","201711",2741,677
"VID","VID01","Белоградчик","201712",2741,695
"VID","VID01","Белоградчик","201801",2741,662
"VID","VID01","Белоградчик","201802",2741,634
"VID","VID01","Белоградчик","201803",2741,611
"VID","VID01","Белоградчик","201804",2741,591
"VID","VID01","Белоградчик","201805",2741,563
"VID","VID01","Белоградчик","201806",2741,529
"VID","VID01","Белоградчик","201807",2741,552
"VID","VID01","Белоградчик","201808",2741,534
"VID","VID01","Белоградчик","201809",2741,548
"VID","VID01","Белоградчик","201810",2741,583
"VID","VID01","Белоградчик","201811",2741,595
"VID","VID01","Белоградчик","201812",2741,599
"VID","VID03","Бойница","201001",527,75
"VID","VID03","Бойница","201002",527,60
"VID","VID03","Бойница","201003",527,60
"VID","VID03","Бойница","201004",527,94
"VID","VID03","Бойница","201005",527,92
"VID","VID03","Бойница","201006",527,92
"VID","VID03","Бойница","201007",527,88
"VID","VID03","Бойница","201008",527,92
"VID","VID03","Бойница","201009",527,91
"VID","VID03","Бойница","201010",527,96
"VID","VID03","Бойница","201011",527,92
"VID","VID03","Бойница","201012",527,93
"VID","VID03","Бойница","201101",286,98
"VID","VID03","Бойница","201102",286,82
"VID","VID03","Бойница","201103",286,49
"VID","VID03","Бойница","201104",286,47
"VID","VID03","Бойница","201105",286,47
"VID","VID03","Бойница","201106",286,48
"VID","VID03","Бойница","201107",286,44
"VID","VID03","Бойница","201108",286,46
"VID","VID03","Бойница","201109",286,49
"VID","VID03","Бойница","201110",286,39
"VID","VID03","Бойница","201111",286,38
"VID","VID03","Бойница","201112",286,43
"VID","VID03","Бойница","201201",286,58
"VID","VID03","Бойница","201202",286,60
"VID","VID03","Бойница","201203",286,102
"VID","VID03","Бойница","201204",286,113
"VID","VID03","Бойница","201205",286,118
"VID","VID03","Бойница","201206",286,116
"VID","VID03","Бойница","201207",286,108
"VID","VID03","Бойница","201208",286,109
"VID","VID03","Бойница","201209",286,71
"VID","VID03","Бойница","201210",286,76
"VID","VID03","Бойница","201211",286,72
"VID","VID03","Бойница","201212",286,65
"VID","VID03","Бойница","201301",286,58
"VID","VID03","Бойница","201302",286,58
"VID","VID03","Бойница","201303",286,61
"VID","VID03","Бойница","201304",286,71
"VID","VID03","Бойница","201305",286,72
"VID","VID03","Бойница","201306",286,55
"VID","VID03","Бойница","201307",286,53
"VID","VID03","Бойница","201308",286,48
"VID","VID03","Бойница","201309",286,66
"VID","VID03","Бойница","201310",286,88
"VID","VID03","Бойница","201311",286,89
