sektor|imenasektor
A|Селско, горско и рибно стопанство
B|Добивна промишленост
CA|Производство на хранителни продукти, напитки и тютюневи изделия
CB|Производство на текстил и облекло; обработка на кожи; производство на обувки и други изделия от обработени кожи без косъм
CC|Производство на дървен материал, хартия, картон и изделия от тях (без мебели); печатна дейност
CD|Производство на кокс и рафинирани нефтопродукти
CE|Производство на химични продукти
CF|Производство на лекарствени вещества и продукти
CG|Производство на изделия от каучук, пластмаси и други неметални минерални суровини
CH|Производство на основни метали и метални изделия, без машини и оборудване
CI|Производство на компютърна и комуникационна техника, електронни и оптични продукти
CJ|Производство на електрически съоръжения
CK|Производство на машини и оборудване , с общо и специално предназначение
CL|Производство на превозни средства
CM|Производство на мебели; производство, некласифицирано другаде; ремонт и инсталиране на машини и оборудване
D|Производство и разпределение на електрическа и топлинна енергия и на газообразни горива
E|Доставяне на води; канализационни услуги, управление на отпадъци и възстановяване
F|Строителство
G|Търговия; ремонт на автомобили и мотоциклети
H|Транспорт, складиране и пощи
I|Хотелиерство и ресторантьорство
JA|Издателска дейност, създаване на аудио- визуални произведения, радио-и телевизионна дейност
JB|Далекосъобщения
JC|Дейности в областта на информационните технологии и информационни услуги
K|Финансови и застрахователни дейности
L|Операции с недвижими имоти
MA|Юридически, счетоводни, архитектурни и инженерни дейности, технически изпитания и анализи; консултантски дейности по управление
MB|Научноизследователска и развойна дейност
MC|Рекламна и ветеринарномедицинска дейност; други професионални дейности
N|Административни и спомагателни дейности
O|Държавно управление
P|Образование
QA|Хуманно здравеопазване
QB|Медико-социални грижи с настаняване и социална работа без настаняване
R|Култура, спорт и развлечения
S|Други дейности
