;;левове;
BG311;2008I;364;
BG311;2008II;363;
BG311;2008III;363;
BG311;2008IV;369;
BG311;2008V;380;
BG311;2008VI;382;
BG311;2008VII;386;
BG311;2008VIII;383;
BG311;2008IX;424;
BG311;2008X;413;
BG311;2008XI;430;
BG311;2008XII;436;
BG311;2009I;419;
BG311;2009II;409;
BG311;2009III;416;
BG311;2009IV;432;
BG311;2009V;442;
BG311;2009VI;436;
BG311;2009VII;440;
BG311;2009VIII;447;
BG311;2009IX;466;
BG311;2009X;447;
BG311;2009XI;459;
BG311;2009XII;468;
BG311;2010I;434;
BG311;2010II;420;
BG311;2010III;423;
BG311;2010IV;443;
BG311;2010V;458;
BG311;2010VI;438;
BG311;2010VII;447;
BG311;2010VIII;429;
BG311;2010IX;450;
BG311;2010X;458;
BG311;2010XI;456;
BG311;2010XII;481;
BG311;2011I;460;
BG311;2011II;442;
BG311;2011III;446;
BG311;2011IV;460;
BG311;2011V;464;
BG311;2011VI;453;
BG311;2011VII;448;
BG311;2011VIII;456;
BG311;2011IX;475;
BG311;2011X;483;
BG311;2011XI;485;
BG311;2011XII;490;
BG311;2012I;460;
BG311;2012II;453;
BG311;2012III;467;
BG311;2012IV;489;
BG311;2012V;510;
BG311;2012VI;490;
BG311;2012VII;501;
BG311;2012VIII;506;
BG311;2012IX;507;
BG311;2012X;521;
BG311;2012XI;512;
BG311;2012XII;513;
BG311;2013I;499;
BG311;2013II;503;
BG311;2013III;514;
BG311;2013IV;518;
BG311;2013V;533;
BG311;2013VI;514;
BG311;2013VII;520;
BG311;2013VIII;514;
BG311;2013IX;518;
BG311;2013X;531;
BG311;2013XI;531;
BG311;2013XII;554;
BG311;2014I;557;
BG311;2014II;555;
BG311;2014III;566;
BG311;2014IV;574;
BG311;2014V;561;
BG311;2014VI;561;
BG311;2014VII;556;
BG311;2014VIII;552;
BG311;2014IX;557;
BG311;2014X;592;
BG311;2014XI;570;
BG311;2014XII;579;
BG311;2015I;551;
BG311;2015II;560;
BG311;2015III;577;
BG311;2015IV;595;
BG311;2015V;610;
BG311;2015VI;599;
BG311;2015VII;598;
BG311;2015VIII;582;
BG311;2015IX;597;
BG311;2015X;622;
BG311;2015XI;609;
BG311;2015XII;627;
BG311;2016I;627;
BG311;2016II;649;
BG311;2016III;640;
BG311;2016IV;683;
BG311;2016V;669;
BG311;2016VI;658;
BG311;2016VII;660;
BG311;2016VIII;648;
BG311;2016IX;670;
BG311;2016X;684;
BG311;2016XI;693;
BG311;2016XII;691;
BG311;2017I;625;
BG311;2017II;631;
BG311;2017III;649;
BG311;2017IV;668;
BG311;2017V;669;
BG311;2017VI;657;
BG311;2017VII;672;
BG311;2017VIII;652;
BG311;2017IX;672;
BG311;2017X;688;
BG311;2017XI;678;
BG311;2017XII;695;
BG311;2018I;708;
BG311;2018II;698;
BG311;2018III;723;
BG311;2018IV;755;
BG311;2018V;744;
BG311;2018VI;743;
BG311;2018VII;741;
BG311;2018VIII;737;
BG311;2018IX;763;
BG311;2018X;765;
BG311;2018XI;753;
BG311;2018XII;770;
BG311;2019I;782;
BG311;2019II;796;
BG311;2019III;809;
BG311;2019IV;828;
BG311;2019V;823;
BG311;2019VI;805;
BG311;2019VII;816;
BG311;2019VIII;801;
BG311;2019IX;814;
BG311;2019X;872;
BG311;2019XI;832;
BG311;2019XII;853;
BG311;2020I;872;
BG311;2020II;892;
BG311;2020III;858;
BG311;2020IV;891;
BG311;2020V;923;
BG311;2020VI;935;
BG311;2020VII;957;
BG311;2020VIII;920;
BG311;2020IX;956;
BG313;2008I;489;
BG313;2008II;489;
BG313;2008III;496;
BG313;2008IV;503;
BG313;2008V;506;
BG313;2008VI;535;
BG313;2008VII;538;
BG313;2008VIII;528;
BG313;2008IX;545;
BG313;2008X;601;
BG313;2008XI;539;
BG313;2008XII;636;
BG313;2009I;607;
BG313;2009II;605;
BG313;2009III;615;
BG313;2009IV;633;
BG313;2009V;662;
BG313;2009VI;638;
BG313;2009VII;639;
BG313;2009VIII;635;
BG313;2009IX;663;
BG313;2009X;672;
BG313;2009XI;665;
BG313;2009XII;675;
BG313;2010I;655;
BG313;2010II;647;
BG313;2010III;666;
BG313;2010IV;677;
BG313;2010V;712;
BG313;2010VI;701;
BG313;2010VII;707;
BG313;2010VIII;669;
BG313;2010IX;689;
BG313;2010X;698;
BG313;2010XI;708;
BG313;2010XII;757;
BG313;2011I;695;
BG313;2011II;681;
BG313;2011III;716;
BG313;2011IV;726;
BG313;2011V;776;
BG313;2011VI;717;
BG313;2011VII;712;
BG313;2011VIII;709;
BG313;2011IX;731;
BG313;2011X;792;
BG313;2011XI;734;
BG313;2011XII;750;
BG313;2012I;771;
BG313;2012II;710;
BG313;2012III;729;
BG313;2012IV;774;
BG313;2012V;781;
BG313;2012VI;761;
BG313;2012VII;748;
BG313;2012VIII;745;
BG313;2012IX;786;
BG313;2012X;791;
BG313;2012XI;760;
BG313;2012XII;791;
BG313;2013I;763;
BG313;2013II;768;
BG313;2013III;754;
BG313;2013IV;753;
BG313;2013V;814;
BG313;2013VI;788;
BG313;2013VII;747;
BG313;2013VIII;748;
BG313;2013IX;787;
BG313;2013X;804;
BG313;2013XI;804;
BG313;2013XII;829;
BG313;2014I;830;
BG313;2014II;799;
BG313;2014III;834;
BG313;2014IV;852;
BG313;2014V;899;
BG313;2014VI;809;
BG313;2014VII;819;
BG313;2014VIII;813;
BG313;2014IX;865;
BG313;2014X;888;
BG313;2014XI;833;
BG313;2014XII;888;
BG313;2015I;824;
BG313;2015II;837;
BG313;2015III;845;
BG313;2015IV;903;
BG313;2015V;924;
BG313;2015VI;864;
BG313;2015VII;869;
BG313;2015VIII;845;
BG313;2015IX;893;
BG313;2015X;895;
BG313;2015XI;878;
BG313;2015XII;930;
BG313;2016I;856;
BG313;2016II;850;
BG313;2016III;877;
BG313;2016IV;902;
BG313;2016V;929;
BG313;2016VI;873;
BG313;2016VII;871;
BG313;2016VIII;864;
BG313;2016IX;899;
BG313;2016X;937;
BG313;2016XI;948;
BG313;2016XII;1003;
BG313;2017I;888;
BG313;2017II;899;
BG313;2017III;931;
BG313;2017IV;979;
BG313;2017V;999;
BG313;2017VI;968;
BG313;2017VII;935;
BG313;2017VIII;919;
BG313;2017IX;985;
BG313;2017X;1004;
BG313;2017XI;974;
BG313;2017XII;1028;
BG313;2018I;989;
BG313;2018II;984;
BG313;2018III;1006;
BG313;2018IV;1042;
BG313;2018V;1066;
BG313;2018VI;1065;
BG313;2018VII;1020;
BG313;2018VIII;1010;
BG313;2018IX;1089;
BG313;2018X;1108;
BG313;2018XI;1079;
BG313;2018XII;1137;
BG313;2019I;1073;
BG313;2019II;1084;
BG313;2019III;1129;
BG313;2019IV;1141;
BG313;2019V;1196;
BG313;2019VI;1213;
BG313;2019VII;1136;
BG313;2019VIII;1135;
BG313;2019IX;1190;
BG313;2019X;1270;
BG313;2019XI;1287;
BG313;2019XII;1262;
BG313;2020I;1210;
BG313;2020II;1229;
BG313;2020III;1206;
BG313;2020IV;1266;
BG313;2020V;1289;
BG313;2020VI;1285;
BG313;2020VII;1238;
BG313;2020VIII;1230;
BG313;2020IX;1319;
BG315;2008I;396;
BG315;2008II;396;
BG315;2008III;415;
BG315;2008IV;418;
BG315;2008V;435;
BG315;2008VI;442;
BG315;2008VII;427;
BG315;2008VIII;436;
BG315;2008IX;457;
BG315;2008X;457;
BG315;2008XI;456;
BG315;2008XII;483;
BG315;2009I;436;
BG315;2009II;431;
BG315;2009III;440;
BG315;2009IV;461;
BG315;2009V;475;
BG315;2009VI;469;
BG315;2009VII;469;
BG315;2009VIII;464;
BG315;2009IX;492;
BG315;2009X;477;
BG315;2009XI;469;
BG315;2009XII;503;
BG315;2010I;455;
BG315;2010II;455;
BG315;2010III;476;
BG315;2010IV;491;
BG315;2010V;498;
BG315;2010VI;499;
BG315;2010VII;500;
BG315;2010VIII;483;
BG315;2010IX;506;
BG315;2010X;511;
BG315;2010XI;517;
BG315;2010XII;540;
BG315;2011I;496;
BG315;2011II;494;
BG315;2011III;507;
BG315;2011IV;518;
BG315;2011V;528;
BG315;2011VI;513;
BG315;2011VII;517;
BG315;2011VIII;513;
BG315;2011IX;535;
BG315;2011X;536;
BG315;2011XI;531;
BG315;2011XII;568;
BG315;2012I;503;
BG315;2012II;494;
BG315;2012III;515;
BG315;2012IV;534;
BG315;2012V;569;
BG315;2012VI;537;
BG315;2012VII;543;
BG315;2012VIII;539;
BG315;2012IX;562;
BG315;2012X;574;
BG315;2012XI;575;
BG315;2012XII;591;
BG315;2013I;559;
BG315;2013II;559;
BG315;2013III;587;
BG315;2013IV;578;
BG315;2013V;597;
BG315;2013VI;577;
BG315;2013VII;573;
BG315;2013VIII;577;
BG315;2013IX;593;
BG315;2013X;630;
BG315;2013XI;610;
BG315;2013XII;623;
BG315;2014I;619;
BG315;2014II;604;
BG315;2014III;619;
BG315;2014IV;646;
BG315;2014V;637;
BG315;2014VI;631;
BG315;2014VII;634;
BG315;2014VIII;619;
BG315;2014IX;640;
BG315;2014X;650;
BG315;2014XI;640;
BG315;2014XII;666;
BG315;2015I;638;
BG315;2015II;623;
BG315;2015III;654;
BG315;2015IV;652;
BG315;2015V;653;
BG315;2015VI;648;
BG315;2015VII;682;
BG315;2015VIII;667;
BG315;2015IX;679;
BG315;2015X;684;
BG315;2015XI;673;
BG315;2015XII;733;
BG315;2016I;715;
BG315;2016II;705;
BG315;2016III;728;
BG315;2016IV;730;
BG315;2016V;735;
BG315;2016VI;741;
BG315;2016VII;762;
BG315;2016VIII;740;
BG315;2016IX;780;
BG315;2016X;765;
BG315;2016XI;759;
BG315;2016XII;795;
BG315;2017I;727;
BG315;2017II;725;
