period,mz
2000Q1,75
2000Q2,75
2000Q3,75
2000Q4,79
2001Q1,79
2001Q2,85
2001Q3,85
2001Q4,100
2002Q1,100
2002Q2,100
2002Q3,100
2002Q4,100
2003Q1,110
2003Q2,110
2003Q3,110
2003Q4,110
2004Q1,120
2004Q2,120
2004Q3,120
2004Q4,120
2005Q1,150
2005Q2,150
2005Q3,150
2005Q4,150
2006Q1,160
2006Q2,160
2006Q3,160
2006Q4,160
2007Q1,180
2007Q2,180
2007Q3,180
2007Q4,180
2008Q1,220
2008Q2,220
2008Q3,220
2008Q4,220
2009Q1,240
2009Q2,240
2009Q3,240
2009Q4,240
2010Q1,240
2010Q2,240
2010Q3,240
2010Q4,240
2011Q1,240
2011Q2,240
2011Q3,240
2011Q4,270
2012Q1,270
2012Q2,290
2012Q3,290
2012Q4,290
2013Q1,310
2013Q2,310
2013Q3,310
2013Q4,310
2014Q1,340
2014Q2,340
2014Q3,340
2014Q4,340
2015Q1,360
2015Q2,360
2015Q3,380
2015Q4,380
2016Q1,420
2016Q2,420
2016Q3,420
2016Q4,420
2017Q1,460
2017Q2,460
2017Q3,460
2017Q4,460
2018Q1,510
2018Q2,510
2018Q3,510
2018Q4,510
2019Q1,560
2019Q2,560
2019Q3,560
2019Q4,560
