"oblast","obshtina","godina","naeti","godzaplata","meszapl","mrz","mrzproc","obshtkod","nastrw","koefnaeti"
"Видин","Белоградчик",2011,1062,5258,438.166666666667,270,62,"VID01",6520,16.3
"Видин","Бойница",2011,184,4692,391,270,69,"VID03",1293,14.2
"Видин","Брегово",2011,803,4338,361.5,270,75,"VID06",5471,14.7
"Видин","Видин",2011,13280,5703,475.25,270,57,"VID09",62348,21.3
"Видин","Грамада",2011,392,5468,455.666666666667,270,59,"VID15",1975,19.8
"Видин","Димово",2011,682,4796,399.666666666667,270,68,"VID16",6440,10.6
"Видин","Кула",2011,769,6461,538.416666666667,270,50,"VID22",4615,16.7
"Видин","Макреш",2011,167,4264,355.333333333333,270,76,"VID25",1575,10.6
"Видин","Ново село",2011,291,4813,401.083333333333,270,67,"VID30",2908,10
"Видин","Ружинци",2011,397,4471,372.583333333333,270,72,"VID33",4313,9.2
"Видин","Чупрене",2011,295,4863,405.25,270,67,"VID37",2023,14.6
"Враца","Борован",2011,534,4812,401,270,67,"VRC05",5685,9.4
"Враца","Бяла Слатина",2011,3809,5319,443.25,270,61,"VRC08",24362,15.6
"Враца","Враца",2011,19257,6215,517.916666666667,270,52,"VRC10",72877,26.4
"Враца","Козлодуй",2011,9032,18330,1527.5,270,18,"VRC20",20970,43.1
"Враца","Криводол",2011,847,5451,454.25,270,59,"VRC21",9415,9
"Враца","Мездра",2011,3643,5600,466.666666666667,270,58,"VRC27",21436,17
"Враца","Мизия",2011,1255,5222,435.166666666667,270,62,"VRC28",7455,16.8
"Враца","Оряхово",2011,1353,6329,527.416666666667,270,51,"VRC31",11392,11.9
"Враца","Роман",2011,938,5227,435.583333333333,270,62,"VRC32",6135,15.3
"Враца","Хайредин",2011,450,5105,425.416666666667,270,63,"VRC35",4935,9.1
"Ловеч","Априлци",2011,764,5133,427.75,270,63,"LOV02",3285,23.3
"Ловеч","Летница",2011,840,5054,421.166666666667,270,64,"LOV17",3740,22.5
"Ловеч","Ловеч",2011,14793,6601,550.083333333333,270,49,"LOV18",49045,30.2
"Ловеч","Луковит",2011,2722,5746,478.833333333333,270,56,"LOV19",17925,15.2
"Ловеч","Тетевен",2011,3555,5255,437.916666666667,270,62,"LOV33",21068,16.9
"Ловеч","Троян",2011,9880,6001,500.083333333333,270,54,"LOV34",31980,30.9
"Ловеч","Угърчин",2011,880,4938,411.5,270,66,"LOV36",6356,13.8
"Ловеч","Ябланица",2011,1163,8723,726.916666666667,270,37,"LOV38",6210,18.7
"Монтана","Берковица",2011,3574,5892,491,270,55,"MON02",18489,19.3
"Монтана","Бойчиновци",2011,848,5994,499.5,270,54,"MON04",9140,9.3
"Монтана","Брусарци",2011,411,4672,389.333333333333,270,69,"MON07",4961,8.3
"Монтана","Вълчедръм",2011,906,4828,402.333333333333,270,67,"MON11",9745,9.3
"Монтана","Вършец",2011,1245,4989,415.75,270,65,"MON12",8061,15.4
"Монтана","Георги Дамяново",2011,514,4906,408.833333333333,270,66,"MON14",2702,19
"Монтана","Лом",2011,5393,6292,524.333333333333,270,51,"MON24",27839,19.4
"Монтана","Медковец",2011,406,5103,425.25,270,63,"MON26",3935,10.3
"Монтана","Монтана",2011,14423,6820,568.333333333333,270,48,"MON29",53236,27.1
"Монтана","Чипровци",2011,530,4574,381.166666666667,270,71,"MON36",3624,14.6
"Монтана","Якимово",2011,481,5791,482.583333333333,270,56,"MON38",4252,11.3
"Плевен","Белене",2011,1814,7989,665.75,270,41,"PVN03",10161,17.9
"Плевен","Гулянци",2011,1082,5591,465.916666666667,270,58,"PVN08",12123,8.9
"Плевен","Долна Митрополия",2011,2220,5847,487.25,270,55,"PVN10",19973,11.1
"Плевен","Долни Дъбник",2011,1859,6453,537.75,270,50,"PVN11",11630,16
"Плевен","Искър",2011,938,4322,360.166666666667,270,75,"PVN23",6788,13.8
"Плевен","Кнежа",2011,2369,5848,487.333333333333,270,55,"PVN39",13610,17.4
"Плевен","Левски",2011,3406,5908,492.333333333333,270,55,"PVN16",19688,17.3
