"TIME","GEO","UNIT","Value"
"2000","BG311","Million units of national currency","328.25"
"2000","BG312","Million units of national currency","435.16"
"2000","BG313","Million units of national currency","1 082.32"
"2000","BG314","Million units of national currency","901.54"
"2000","BG315","Million units of national currency","513.06"
"2000","BG321","Million units of national currency","856.18"
"2000","BG322","Million units of national currency","489.44"
"2000","BG323","Million units of national currency","816.45"
"2000","BG324","Million units of national currency","390.09"
"2000","BG325","Million units of national currency","375.2"
"2000","BG331","Million units of national currency","1 758.32"
"2000","BG332","Million units of national currency","714.56"
"2000","BG333","Million units of national currency","538.42"
"2000","BG334","Million units of national currency","351.57"
"2000","BG341","Million units of national currency","1 845.24"
"2000","BG342","Million units of national currency","549.47"
"2000","BG343","Million units of national currency","399.69"
"2000","BG344","Million units of national currency","1 498.83"
"2000","BG411","Million units of national currency","7 216.27"
"2000","BG412","Million units of national currency","868.57"
"2000","BG413","Million units of national currency","910.67"
"2000","BG414","Million units of national currency","397.31"
"2000","BG415","Million units of national currency","541.17"
"2000","BG421","Million units of national currency","2 072.66"
"2000","BG422","Million units of national currency","740.97"
"2000","BG423","Million units of national currency","734.37"
"2000","BG424","Million units of national currency","370.8"
"2000","BG425","Million units of national currency","428.3"
"2001","BG311","Million units of national currency","377.94"
"2001","BG312","Million units of national currency","495.43"
"2001","BG313","Million units of national currency","1 033.62"
"2001","BG314","Million units of national currency","1 061.17"
"2001","BG315","Million units of national currency","568.32"
"2001","BG321","Million units of national currency","947.73"
"2001","BG322","Million units of national currency","558.14"
"2001","BG323","Million units of national currency","888.86"
"2001","BG324","Million units of national currency","455.04"
"2001","BG325","Million units of national currency","430.78"
"2001","BG331","Million units of national currency","1 939.97"
"2001","BG332","Million units of national currency","660.13"
"2001","BG333","Million units of national currency","588.69"
"2001","BG334","Million units of national currency","389.46"
"2001","BG341","Million units of national currency","1 546.69"
"2001","BG342","Million units of national currency","609.71"
"2001","BG343","Million units of national currency","433.17"
"2001","BG344","Million units of national currency","1 719.59"
"2001","BG411","Million units of national currency","8 592.65"
"2001","BG412","Million units of national currency","875.94"
"2001","BG413","Million units of national currency","979.71"
"2001","BG414","Million units of national currency","437.86"
"2001","BG415","Million units of national currency","591.3"
"2001","BG421","Million units of national currency","2 340.85"
"2001","BG422","Million units of national currency","822.53"
"2001","BG423","Million units of national currency","753.18"
"2001","BG424","Million units of national currency","461.66"
"2001","BG425","Million units of national currency","426.57"
"2002","BG311","Million units of national currency","403.79"
"2002","BG312","Million units of national currency","546.79"
"2002","BG313","Million units of national currency","1 030.91"
"2002","BG314","Million units of national currency","1 103.02"
"2002","BG315","Million units of national currency","604.64"
"2002","BG321","Million units of national currency","1 107.51"
"2002","BG322","Million units of national currency","625"
"2002","BG323","Million units of national currency","979.16"
"2002","BG324","Million units of national currency","522.46"
"2002","BG325","Million units of national currency","447.91"
"2002","BG331","Million units of national currency","2 121.34"
"2002","BG332","Million units of national currency","699.2"
"2002","BG333","Million units of national currency","639.24"
"2002","BG334","Million units of national currency","439.13"
"2002","BG341","Million units of national currency","1 660.78"
"2002","BG342","Million units of national currency","667.62"
"2002","BG343","Million units of national currency","455.79"
"2002","BG344","Million units of national currency","1 705.7"
"2002","BG411","Million units of national currency","9 986.92"
"2002","BG412","Million units of national currency","1 009.47"
"2002","BG413","Million units of national currency","1 057.99"
"2002","BG414","Million units of national currency","515.86"
"2002","BG415","Million units of national currency","615.45"
"2002","BG421","Million units of national currency","2 485.66"
"2002","BG422","Million units of national currency","861.23"
"2002","BG423","Million units of national currency","853.17"
"2002","BG424","Million units of national currency","478.82"
"2002","BG425","Million units of national currency","444.16"
"2003","BG311","Million units of national currency","405.54"
"2003","BG312","Million units of national currency","554.03"
"2003","BG313","Million units of national currency","1 062.57"
"2003","BG314","Million units of national currency","1 096.16"
"2003","BG315","Million units of national currency","628.28"
"2003","BG321","Million units of national currency","1 069.49"
"2003","BG322","Million units of national currency","619.54"
"2003","BG323","Million units of national currency","1 025.09"
"2003","BG324","Million units of national currency","522.82"
"2003","BG325","Million units of national currency","438.39"
"2003","BG331","Million units of national currency","2 292.79"
"2003","BG332","Million units of national currency","765.45"
"2003","BG333","Million units of national currency","696.43"
"2003","BG334","Million units of national currency","429.07"
"2003","BG341","Million units of national currency","1 879.59"
"2003","BG342","Million units of national currency","684.17"
"2003","BG343","Million units of national currency","486.61"
"2003","BG344","Million units of national currency","1 909.86"
"2003","BG411","Million units of national currency","10 840.66"
"2003","BG412","Million units of national currency","1 116.29"
"2003","BG413","Million units of national currency","1 235.36"
"2003","BG414","Million units of national currency","505.93"
"2003","BG415","Million units of national currency","703.66"
"2003","BG421","Million units of national currency","2 764.07"
"2003","BG422","Million units of national currency","941.72"
"2003","BG423","Million units of national currency","938.94"
"2003","BG424","Million units of national currency","486.19"
"2003","BG425","Million units of national currency","539.19"
"2004","BG311","Million units of national currency","438.46"
"2004","BG312","Million units of national currency","612.69"
"2004","BG313","Million units of national currency","1 109.04"
"2004","BG314","Million units of national currency","1 141.09"
"2004","BG315","Million units of national currency","695.6"
"2004","BG321","Million units of national currency","1 161.59"
"2004","BG322","Million units of national currency","673.38"
"2004","BG323","Million units of national currency","1 134.15"
"2004","BG324","Million units of national currency","533.1"
"2004","BG325","Million units of national currency","485.66"
"2004","BG331","Million units of national currency","2 628.33"
"2004","BG332","Million units of national currency","838.87"
"2004","BG333","Million units of national currency","729.78"
"2004","BG334","Million units of national currency","474.56"
"2004","BG341","Million units of national currency","2 146.86"
"2004","BG342","Million units of national currency","764.06"
"2004","BG343","Million units of national currency","533.96"
"2004","BG344","Million units of national currency","2 112.5"
"2004","BG411","Million units of national currency","12 433.42"
"2004","BG412","Million units of national currency","1 329.17"
"2004","BG413","Million units of national currency","1 447.34"
"2004","BG414","Million units of national currency","634.98"
"2004","BG415","Million units of national currency","695.16"
"2004","BG421","Million units of national currency","3 156.65"
"2004","BG422","Million units of national currency","1 046.54"
"2004","BG423","Million units of national currency","1 086.05"
"2004","BG424","Million units of national currency","546.83"
"2004","BG425","Million units of national currency","611.49"
"2005","BG311","Million units of national currency","466.96"
"2005","BG312","Million units of national currency","661.34"
"2005","BG313","Million units of national currency","1 215.11"
"2005","BG314","Million units of national currency","1 318.35"
"2005","BG315","Million units of national currency","752.74"
"2005","BG321","Million units of national currency","1 288.85"
"2005","BG322","Million units of national currency","757.57"
"2005","BG323","Million units of national currency","1 294.72"
"2005","BG324","Million units of national currency","611.62"
"2005","BG325","Million units of national currency","537.19"
"2005","BG331","Million units of national currency","2 970.42"
"2005","BG332","Million units of national currency","920.6"
"2005","BG333","Million units of national currency","840.17"
"2005","BG334","Million units of national currency","540.71"
"2005","BG341","Million units of national currency","2 698.98"
"2005","BG342","Million units of national currency","826.84"
"2005","BG343","Million units of national currency","546.47"
"2005","BG344","Million units of national currency","2 375.52"
"2005","BG411","Million units of national currency","14 626.18"
"2005","BG412","Million units of national currency","1 550.97"
"2005","BG413","Million units of national currency","1 548.84"
"2005","BG414","Million units of national currency","670.78"
"2005","BG415","Million units of national currency","701.18"
"2005","BG421","Million units of national currency","3 668.85"
"2005","BG422","Million units of national currency","1 105.97"
"2005","BG423","Million units of national currency","1 219.62"
"2005","BG424","Million units of national currency","610.21"
"2005","BG425","Million units of national currency","690.47"
"2006","BG311","Million units of national currency","473.14"
"2006","BG312","Million units of national currency","692.22"
"2006","BG313","Million units of national currency","1 209.27"
"2006","BG314","Million units of national currency","1 403.35"
"2006","BG315","Million units of national currency","797.01"
"2006","BG321","Million units of national currency","1 410.44"
"2006","BG322","Million units of national currency","816.4"
"2006","BG323","Million units of national currency","1 415.43"
"2006","BG324","Million units of national currency","629.43"
"2006","BG325","Million units of national currency","546.98"
"2006","BG331","Million units of national currency","3 590.44"
"2006","BG332","Million units of national currency","951.59"
"2006","BG333","Million units of national currency","909.24"
"2006","BG334","Million units of national currency","624.64"
"2006","BG341","Million units of national currency","2 967.11"
"2006","BG342","Million units of national currency","857.38"
"2006","BG343","Million units of national currency","586.83"
"2006","BG344","Million units of national currency","2 484.95"
"2006","BG411","Million units of national currency","18 218.39"
"2006","BG412","Million units of national currency","1 876.15"
"2006","BG413","Million units of national currency","1 594.88"
"2006","BG414","Million units of national currency","700.78"
"2006","BG415","Million units of national currency","731.99"
"2006","BG421","Million units of national currency","4 026.47"
"2006","BG422","Million units of national currency","1 156.99"
"2006","BG423","Million units of national currency","1 583.17"
"2006","BG424","Million units of national currency","641.78"
"2006","BG425","Million units of national currency","711.98"
"2007","BG311","Million units of national currency","546.97"
"2007","BG312","Million units of national currency","780.27"
"2007","BG313","Million units of national currency","1 309.2"
"2007","BG314","Million units of national currency","1 581.18"
"2007","BG315","Million units of national currency","988.64"
"2007","BG321","Million units of national currency","1 537"
