"obshtkod","obshtina","godina","nastrw"
"VID01","Белоградчик",2000,8724
"VID01","Белоградчик",2001,8173
"VID01","Белоградчик",2002,8027
"VID01","Белоградчик",2003,7863
"VID01","Белоградчик",2004,7776
"VID01","Белоградчик",2005,7553
"VID01","Белоградчик",2006,7425
"VID01","Белоградчик",2007,7270
"VID01","Белоградчик",2008,7172
"VID01","Белоградчик",2009,7045
"VID01","Белоградчик",2010,6868
"VID01","Белоградчик",2011,6520
"VID01","Белоградчик",2012,6424
"VID01","Белоградчик",2013,6294
"VID01","Белоградчик",2014,6162
"VID01","Белоградчик",2015,5997
"VID01","Белоградчик",2016,5861
"VID01","Белоградчик",2017,5726
"VID01","Белоградчик",2018,5575
"VID03","Бойница",2000,2335
"VID03","Бойница",2001,2186
"VID03","Бойница",2002,2152
"VID03","Бойница",2003,2139
"VID03","Бойница",2004,2075
"VID03","Бойница",2005,1947
"VID03","Бойница",2006,1850
"VID03","Бойница",2007,1913
"VID03","Бойница",2008,1797
"VID03","Бойница",2009,1717
"VID03","Бойница",2010,1659
"VID03","Бойница",2011,1293
"VID03","Бойница",2012,1218
"VID03","Бойница",2013,1169
"VID03","Бойница",2014,1126
"VID03","Бойница",2015,1143
"VID03","Бойница",2016,1077
"VID03","Бойница",2017,996
"VID03","Бойница",2018,936
"VID06","Брегово",2000,8189
"VID06","Брегово",2001,7364
"VID06","Брегово",2002,7181
"VID06","Брегово",2003,7122
"VID06","Брегово",2004,6869
"VID06","Брегово",2005,6725
"VID06","Брегово",2006,6530
"VID06","Брегово",2007,6539
"VID06","Брегово",2008,6319
"VID06","Брегово",2009,6168
"VID06","Брегово",2010,6036
"VID06","Брегово",2011,5471
"VID06","Брегово",2012,5346
"VID06","Брегово",2013,5245
"VID06","Брегово",2014,5091
"VID06","Брегово",2015,4994
"VID06","Брегово",2016,4808
"VID06","Брегово",2017,4659
"VID06","Брегово",2018,4498
"VID09","Видин",2000,80701
"VID09","Видин",2001,77167
"VID09","Видин",2002,75651
"VID09","Видин",2003,73856
"VID09","Видин",2004,72577
"VID09","Видин",2005,71222
"VID09","Видин",2006,69699
"VID09","Видин",2007,68302
"VID09","Видин",2008,67369
"VID09","Видин",2009,66126
"VID09","Видин",2010,64989
"VID09","Видин",2011,62348
"VID09","Видин",2012,61416
"VID09","Видин",2013,60222
"VID09","Видин",2014,59039
"VID09","Видин",2015,57001
"VID09","Видин",2016,55790
"VID09","Видин",2017,54737
"VID09","Видин",2018,53764
"VID15","Грамада",2000,3267
"VID15","Грамада",2001,3061
"VID15","Грамада",2002,2985
"VID15","Грамада",2003,2877
"VID15","Грамада",2004,2804
"VID15","Грамада",2005,2728
"VID15","Грамада",2006,2628
"VID15","Грамада",2007,2530
"VID15","Грамада",2008,2421
"VID15","Грамада",2009,2384
"VID15","Грамада",2010,2260
"VID15","Грамада",2011,1975
"VID15","Грамада",2012,1921
"VID15","Грамада",2013,1860
"VID15","Грамада",2014,1811
"VID15","Грамада",2015,2015
"VID15","Грамада",2016,1916
"VID15","Грамада",2017,1820
"VID15","Грамада",2018,1742
"VID16","Димово",2000,9208
"VID16","Димово",2001,8524
"VID16","Димово",2002,8337
"VID16","Димово",2003,8221
"VID16","Димово",2004,8127
"VID16","Димово",2005,8065
"VID16","Димово",2006,7775
"VID16","Димово",2007,7531
"VID16","Димово",2008,7319
"VID16","Димово",2009,7175
"VID16","Димово",2010,7066
"VID16","Димово",2011,6440
"VID16","Димово",2012,6285
"VID16","Димово",2013,6126
"VID16","Димово",2014,5977
"VID16","Димово",2015,6050
"VID16","Димово",2016,5845
"VID16","Димово",2017,5804
"VID16","Димово",2018,5596
"VID22","Кула",2000,7222
"VID22","Кула",2001,6241
"VID22","Кула",2002,6018
"VID22","Кула",2003,5887
"VID22","Кула",2004,5710
"VID22","Кула",2005,5563
"VID22","Кула",2006,5421
"VID22","Кула",2007,5237
"VID22","Кула",2008,5098
"VID22","Кула",2009,4958
"VID22","Кула",2010,4811
"VID22","Кула",2011,4615
"VID22","Кула",2012,4487
"VID22","Кула",2013,4345
"VID22","Кула",2014,4197
"VID22","Кула",2015,4004
"VID22","Кула",2016,3867
"VID22","Кула",2017,3788
"VID22","Кула",2018,3654
"VID25","Макреш",2000,2790
"VID25","Макреш",2001,2454
"VID25","Макреш",2002,2416
"VID25","Макреш",2003,2414
"VID25","Макреш",2004,2345
"VID25","Макреш",2005,2270
"VID25","Макреш",2006,2148
"VID25","Макреш",2007,2129
"VID25","Макреш",2008,2012
"VID25","Макреш",2009,1938
"VID25","Макреш",2010,1827
"VID25","Макреш",2011,1575
"VID25","Макреш",2012,1501
"VID25","Макреш",2013,1456
"VID25","Макреш",2014,1401
"VID25","Макреш",2015,1438
"VID25","Макреш",2016,1389
"VID25","Макреш",2017,1310
"VID25","Макреш",2018,1277
"VID30","Ново село",2000,4359
"VID30","Ново село",2001,4084
"VID30","Ново село",2002,3916
"VID30","Ново село",2003,3972
"VID30","Ново село",2004,3845
"VID30","Ново село",2005,3733
"VID30","Ново село",2006,3604
"VID30","Ново село",2007,3588
"VID30","Ново село",2008,3485
"VID30","Ново село",2009,3381
"VID30","Ново село",2010,3332
"VID30","Ново село",2011,2908
"VID30","Ново село",2012,2831
"VID30","Ново село",2013,2789
"VID30","Ново село",2014,2725
"VID30","Ново село",2015,2783
"VID30","Ново село",2016,2691
"VID30","Ново село",2017,2593
"VID30","Ново село",2018,2500
"VID33","Ружинци",2000,6329
"VID33","Ружинци",2001,5892
"VID33","Ружинци",2002,5685
"VID33","Ружинци",2003,5537
"VID33","Ружинци",2004,5426
"VID33","Ружинци",2005,5423
"VID33","Ружинци",2006,5213
"VID33","Ружинци",2007,5166
"VID33","Ружинци",2008,4978
"VID33","Ружинци",2009,4890
"VID33","Ружинци",2010,4769
"VID33","Ружинци",2011,4313
"VID33","Ружинци",2012,4160
"VID33","Ружинци",2013,4034
"VID33","Ружинци",2014,3919
"VID33","Ружинци",2015,3940
"VID33","Ружинци",2016,3766
"VID33","Ружинци",2017,3710
"VID33","Ружинци",2018,3608
"VID37","Чупрене",2000,3088
"VID37","Чупрене",2001,2904
"VID37","Чупрене",2002,2790
"VID37","Чупрене",2003,2721
"VID37","Чупрене",2004,2638
"VID37","Чупрене",2005,2580
"VID37","Чупрене",2006,2476
"VID37","Чупрене",2007,2399
"VID37","Чупрене",2008,2340
"VID37","Чупрене",2009,2285
"VID37","Чупрене",2010,2220
"VID37","Чупрене",2011,2023
"VID37","Чупрене",2012,1957
"VID37","Чупрене",2013,1927
"VID37","Чупрене",2014,1913
"VID37","Чупрене",2015,1870
"VID37","Чупрене",2016,1857
"VID37","Чупрене",2017,1784
"VID37","Чупрене",2018,1715
"VRC05","Борован",2000,7022
"VRC05","Борован",2001,6907
"VRC05","Борован",2002,6675
"VRC05","Борован",2003,6625
"VRC05","Борован",2004,6449
"VRC05","Борован",2005,6304
"VRC05","Борован",2006,6121
"VRC05","Борован",2007,6181
"VRC05","Борован",2008,6053
"VRC05","Борован",2009,6107
"VRC05","Борован",2010,6029
"VRC05","Борован",2011,5685
"VRC05","Борован",2012,5599
"VRC05","Борован",2013,5523
"VRC05","Борован",2014,5411
"VRC05","Борован",2015,5536
"VRC05","Борован",2016,5376
"VRC05","Борован",2017,5333
"VRC05","Борован",2018,5209
