"sektor","naeti","osigbaza","srzapl","godina","quarter"
0,337,651974.06,644.880375,2013,1
1,52640,87037271.53,551.140889,2013,1
2,14179,25620834.78,602.290481,2013,1
3,550,1943487.25,1176.445066,2013,1
4,12805,49996403.94,1301.447416,2013,1
5,652,1531952.69,783.206896,2013,1
6,5632,21902669.43,1296.246045,2013,1
7,96,248693.47,863.518993,2013,1
8,461,829496.51,599.780556,2013,1
9,176,302719.68,571.169207,2013,1
10,2407,5274267.72,730.40683,2013,1
11,21,40050.97,625.796406,2013,1
12,823,2058904.66,833.2273,2013,1
13,13029,19108473.94,488.870313,2013,1
14,4253,6818335.58,534.352318,2013,1
15,5791,8636239.44,497.106972,2013,1
16,2784,4991677.82,597.591023,2013,1
17,8014,12438675.46,517.351223,2013,1
18,2366,5380769.33,757.854835,2013,1
19,32763,44687395.74,454.648445,2013,1
20,5812,12618125.26,723.640836,2013,1
21,1655,3130358.6,630.358155,2013,1
22,5525,8788549,530.165228,2013,1
23,2391,8545113.26,1191.122562,2013,1
24,4298,9795363.12,759.683815,2013,1
25,3516,12636786.06,1197.913172,2013,1
26,11812,19329041.99,545.463426,2013,1
27,91588,117609614.84,428.038661,2013,1
28,8615,13525585.89,523.334721,2013,1
29,16020,20914607.83,435.177025,2013,1
30,16957,21206942.09,416.860458,2013,1
31,8352,14653920.61,584.846767,2013,1
32,17166,37224385.04,722.817628,2013,1
33,1777,10170925.69,1907.525448,2013,1
34,12216,31191617.84,851.090557,2013,1
35,8793,23629670.75,895.775834,2013,1
36,24547,38183453.8,518.501042,2013,1
37,20912,46360706.57,738.969134,2013,1
38,4354,16448876.41,1259.099541,2013,1
39,3817,6642644.83,580.09299,2013,1
40,48308,84632314.1,583.977216,2013,1
41,8339,19834497.08,792.840751,2013,1
42,20201,47373590.96,781.67793,2013,1
43,33220,71689519.42,719.326517,2013,1
44,653,1542999.45,786.843166,2013,1
45,16416,32384471.67,657.566075,2013,1
46,20269,24675702.55,405.790303,2013,1
47,22599,47834487.62,705.533822,2013,1
48,2047,3198052.68,520.770669,2013,1
49,24872,115179965.16,1543.636286,2013,1
50,1931,9217278.44,1591.106238,2013,1
51,5608,16445025.02,977.474145,2013,1
52,17449,40130949.33,766.618578,2013,1
53,22121,34784844.15,524.152313,2013,1
54,1027,4368321.72,1416.906169,2013,1
55,112524,185753546.86,550.261859,2013,1
56,15261,30809722.23,672.936445,2013,1
57,5938,9672733.66,542.954457,2013,1
58,322030,573759756.69,593.898252,2013,1
59,21778,49546426.49,758.355932,2013,1
60,106545,138005456.88,431.756826,2013,1
61,23966,56636051.68,787.71682,2013,1
62,76015,117491605.94,515.210115,2013,1
63,1490,4158777.88,930.375364,2013,1
