 основни икономически дейности и квалификационни групи професии	
0	Лица наети в спомагателна дейност на работодател който извършва повече от една икономическа дейност
1	Растениевъдство, животновъдство и лов, спомагателни дейности;Рибно стопанство
2	 Горско стопанство
3	Отглеждане на други животни /пчеларство/
4	Добив на въглища
5	Добив на нефт и природен газ
6	 Добив на метални руди
7	Добив на строителни материали
8	Добив на декоративни скални материали
9	Добив на варовик, суров гипс, креда, доломит и шисти
10	Добив на трошен камък, чакъл и пясък
11	Добив на глина и каолин
12	Добив на други неметални материали и суровини; Спомагателни дейности в добива
13	Производство и преработка на месо; производство на месни продукти, без готови ястия; Преработка и консервиране на риба и други водни животни, без готови ястия
14	Производство и преработка на месо от домашни птици
15	Преработка и консервиране на плодове и зеленчуци, без готови ястия
16	Производство на растителни и животински масла и мазнини
17	Производство на мляко и млечни продукти
18	Производство на мелничарски продукти, нишесте и нишестени продукти
19	Производство на хлебни и тестени изделия; Производство на други хранителни продукти
20	Производство на захар; Производство на какао, шоколадови и захарни изделия
21	Производство на готови храни за животни
22	Производство на напитки
23	Производство на пиво и малц
24	Производство на безалкохолни напитки, минерални и други бутилирани води
25	Производство на тютюневи изделия
26	Производство на текстил и изделия от текстил, без облекло
27	Производство на облекло
28	Производство на други трикотажни изделия
29	Обработка на кожи; производство на обувки и други изделия от обработени кожи без косъм
30	Производство на дървен материал и изделия от дървен материал и корк, без мебели; производство на изделия от слама и материали за плетене
31	 Производство на хартия, картон и изделия от хартия и картон 
32	 Печатна дейност и възпроизвеждане на записани носители ;Издателска дейност; Производство на филми и телевизионни предавания, звукозаписване и издаване на музика
33	Производство на кокс и рафинирани нефтопродукти
34	Производство на химични продукти
35	Производство на лекарствени вещества и продукти
36	Производство на изделия от каучук и пластмаси
37	Производство на изделия от други неметални минерални суровини
38	Производство на основни метали
39	Леене на метали
40	Производство на метални изделия, без машини и оборудване
41	Производство на компютърна и комуникационна техника, електронни и оптични продукти.
42	 Производство на електрически съоръжения
43	Производство на машини и оборудване с общо и специално предназначение; Производство на въоръжение и боеприпаси
44	Производство на турбини и двигатели, без авиационни, автомобилни и мотоциклетни
45	Производство на автомобили, ремаркета и полуремаркета; Производство на превозни средства, без автомобили
46	Производство на мебели
47	Производство, некласифицирано другаде; Ремонт и инсталиране на машини и оборудване
48	Производство на медицински и зъболекарски инструменти и средства (Дейности в зъботехнически лаборатории)
49	Производство, пренос и разпределение на електрическа енергия
50	Производство и разпределение на газообразни горива по газоразпределителните мрежи; Тръбопроводен транспорт
51	Производство и разпределение на топлинна енергия
52	Събиране, пречистване и доставяне на води; Събиране, отвеждане и пречистване на отпадъчни води
53	Събиране и обезвреждане на отпадъци; рециклиране на материали; Възстановяване и други услуги по управление на отпадъци
54	Събиране на опасни отпадъци; Обработване и обезвреждане на опасни отпадъци
55	Строителство на сгради; Строителство на съоръжения; Специализирани строителни дейности
56	Строителство на автомагистрали, пътища и самолетни писти
57	Строителство на преносни и разпределителни електрически и далекосъобщителни мрежи
58	Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт; Търговия на едро, без търговията с автомобили и мотоциклети; Търговия на дребно, без търговията с автомобили и мотоциклети
