"oblast","obshtina","godina","naeti","godzaplata"
"Видин","total","2011","18322","5532"
"Видин","Белоградчик","2011","1062","5258"
"Видин","Бойница","2011","184","4692"
"Видин","Брегово","2011","803","4338"
"Видин","Видин","2011","13280","5703"
"Видин","Грамада","2011","392","5468"
"Видин","Димово","2011","682","4796"
"Видин","Кула","2011","769","6461"
"Видин","Макреш","2011","167","4264"
"Видин","Ново село","2011","291","4813"
"Видин","Ружинци","2011","397","4471"
"Видин","Чупрене","2011","295","4863"
"Враца","total","2011","41118","8657"
"Враца","Борован","2011","534","4812"
"Враца","Бяла Слатина","2011","3809","5319"
"Враца","Враца","2011","19257","6215"
"Враца","Козлодуй","2011","9032","18330"
"Враца","Криводол","2011","847","5451"
"Враца","Мездра","2011","3643","5600"
"Враца","Мизия","2011","1255","5222"
"Враца","Оряхово","2011","1353","6329"
"Враца","Роман","2011","938","5227"
"Враца","Хайредин","2011","450","5105"
"Ловеч","total","2011","34597","6184"
"Ловеч","Априлци","2011","764","5133"
"Ловеч","Летница","2011","840","5054"
"Ловеч","Ловеч","2011","14793","6601"
"Ловеч","Луковит","2011","2722","5746"
"Ловеч","Тетевен","2011","3555","5255"
"Ловеч","Троян","2011","9880","6001"
"Ловеч","Угърчин","2011","880","4938"
"Ловеч","Ябланица","2011","1163","8723"
"Монтана","total","2011","28731","6289"
"Монтана","Берковица","2011","3574","5892"
"Монтана","Бойчиновци","2011","848","5994"
"Монтана","Брусарци","2011","411","4672"
"Монтана","Вълчедръм","2011","906","4828"
"Монтана","Вършец","2011","1245","4989"
"Монтана","Георги Дамяново","2011","514","4906"
"Монтана","Лом","2011","5393","6292"
"Монтана","Медковец","2011","406","5103"
"Монтана","Монтана","2011","14423","6820"
"Монтана","Чипровци","2011","530","4574"
"Монтана","Якимово","2011","481","5791"
"Плевен","total","2011","62256","6308"
"Плевен","Белене","2011","1814","7989"
"Плевен","Гулянци","2011","1082","5591"
"Плевен","Долна Митрополия","2011","2220","5847"
"Плевен","Долни Дъбник","2011","1859","6453"
"Плевен","Искър","2011","938","4322"
"Плевен","Кнежа","2011","2369","5848"
"Плевен","Левски","2011","3406","5908"
"Плевен","Никопол","2011","1353","5727"
"Плевен","Плевен","2011","42087","6481"
"Плевен","Пордим","2011","957","6039"
"Плевен","Червен бряг","2011","4171","5491"
"Велико Търново","total","2011","69215","6488"
"Велико Търново","Велико Търново","2011","31799","7014"
"Велико Търново","Горна Оряховица","2011","12340","6213"
"Велико Търново","Елена","2011","1872","5115"
"Велико Търново","Златарица","2011","490","4924"
"Велико Търново","Лясковец","2011","4488","6161"
"Велико Търново","Павликени","2011","4605","5996"
"Велико Търново","Полски Тръмбеш","2011","1748","5445"
"Велико Търново","Свищов","2011","9086","6279"
"Велико Търново","Стражица","2011","2403","5773"
"Велико Търново","Сухиндол","2011","384","4570"
"Габрово","total","2011","39810","6827"
"Габрово","Габрово","2011","21475","6379"
"Габрово","Дряново","2011","2332","6281"
"Габрово","Севлиево","2011","13161","8014"
"Габрово","Трявна","2011","2842","5160"
"Разград","total","2011","26538","6488"
"Разград","Завет","2011","1347","5543"
"Разград","Исперих","2011","4399","6162"
"Разград","Кубрат","2011","2465","5399"
"Разград","Лозница","2011","883","5736"
"Разград","Разград","2011","15409","6971"
"Разград","Самуил","2011","1285","6185"
"Разград","Цар Калоян","2011","750","5170"
"Русе","total","2011","70693","6783"
"Русе","Борово","2011","770","6159"
"Русе","Бяла","2011","3160","5693"
"Русе","Ветово","2011","2542","7283"
"Русе","Две могили","2011","1310","5669"
"Русе","Иваново","2011","956","6031"
"Русе","Русе","2011","59677","6880"
"Русе","Сливо поле","2011","1683","6731"
"Русе","Ценово","2011","595","5320"
"Силистра","total","2011","21457","6059"
"Силистра","Алфатар","2011","596","4787"
"Силистра","Главиница","2011","967","6180"
"Силистра","Дулово","2011","3075","5263"
"Силистра","Кайнарджа","2011","439","5816"
"Силистра","Силистра","2011","13129","6394"
"Силистра","Ситово","2011","803","6271"
"Силистра","Тутракан","2011","2448","5495"
"Варна","total","2011","149361","8144"
"Варна","Аврен","2011","1224","7182"
"Варна","Аксаково","2011","2697","10646"
"Варна","Белослав","2011","2328","9145"
"Варна","Бяла","2011","897","6014"
"Варна","Варна","2011","126965","8071"
"Варна","Ветрино","2011","718","5699"
"Варна","Вълчи дол","2011","1523","6612"
"Варна","Девня","2011","5523","12043"
"Варна","Долни чифлик","2011","1949","5941"
"Варна","Дългопол","2011","1576","5665"
"Варна","Провадия","2011","3254","6447"
"Варна","Суворово","2011","707","7213"
"Добрич","total","2011","43448","6394"
"Добрич","Балчик","2011","6628","6679"
"Добрич","Генерал Тошево","2011","3144","6000"
"Добрич","Добрич-селска","2011","2770","7015"
"Добрич","Добрич","2011","23137","6233"
"Добрич","Каварна","2011","3436","7140"
"Добрич","Крушари","2011","505","5738"
"Добрич","Тервел","2011","2833","6022"
"Добрич","Шабла","2011","995","6524"
"Търговище","total","2011","27764","5913"
"Търговище","Антоново","2011","630","4949"
"Търговище","Омуртаг","2011","2673","5229"
"Търговище","Опака","2011","762","4931"
"Търговище","Попово","2011","6148","5415"
"Търговище","Търговище","2011","17551","6269"
"Шумен","total","2011","42595","6499"
"Шумен","Велики Преслав","2011","2688","5482"
"Шумен","Венец","2011","750","5424"
"Шумен","Върбица","2011","822","5217"
"Шумен","Каолиново","2011","1080","4709"
"Шумен","Каспичан","2011","2079","7577"
"Шумен","Никола Козлево","2011","583","5512"
"Шумен","Нови пазар","2011","3061","5900"
"Шумен","Смядово","2011","650","5442"
"Шумен","Хитрино","2011","656","5493"
"Шумен","Шумен","2011","30226","6765"
"Бургас","total","2011","118975","7359"
"Бургас","Айтос","2011","3568","5550"
"Бургас","Бургас","2011","72163","8263"
"Бургас","Камено","2011","1351","6596"
"Бургас","Карнобат","2011","7723","6721"
"Бургас","Малко Търново","2011","536","6673"
"Бургас","Несебър","2011","14304","5849"
"Бургас","Поморие","2011","5365","5972"
"Бургас","Приморско","2011","2283","4808"
"Бургас","Руен","2011","2888","4895"
"Бургас","Созопол","2011","3152","5380"
"Бургас","Средец","2011","2286","8039"
"Бургас","Сунгурларе","2011","1406","5811"
"Бургас","Царево","2011","1950","5564"
"Сливен","total","2011","38376","6191"
"Сливен","Котел","2011","1740","5838"
"Сливен","Нова Загора","2011","6202","6048"
"Сливен","Сливен","2011","28722","6285"
"Сливен","Твърдица","2011","1712","5495"
"Стара Загора","total","2011","106133","8512"
"Стара Загора","Братя Даскалови","2011","1237","5419"
"Стара Загора","Гурково","2011","1073","7579"
"Стара Загора","Гълъбово","2011","7889","14976"
"Стара Загора","Казанлък","2011","23536","6672"
"Стара Загора","Мъглиж","2011","1236","6915"
"Стара Загора","Николаево","2011","368","6096"
"Стара Загора","Опан","2011","400","5572"
"Стара Загора","Павел баня","2011","2102","6514"
"Стара Загора","Раднево","2011","12813","15636"
"Стара Загора","Стара Загора","2011","52068","6970"
"Стара Загора","Чирпан","2011","3411","6587"
"Ямбол","total","2011","30615","6343"
"Ямбол","Болярово","2011","800","5679"
"Ямбол","Елхово","2011","2337","5975"
"Ямбол","Стралджа","2011","1780","5767"
"Ямбол","Тунджа","2011","2863","6867"
"Ямбол","Ямбол","2011","22835","6384"
"Благоевград","total","2011","88086","5990"
"Благоевград","Банско","2011","4848","5746"
"Благоевград","Белица","2011","1022","4700"
"Благоевград","Благоевград","2011","27050","7440"
"Благоевград","Гоце Делчев","2011","11223","5781"
"Благоевград","Гърмен","2011","1341","4970"
"Благоевград","Кресна","2011","1266","4858"
"Благоевград","Петрич","2011","14828","4905"
"Благоевград","Разлог","2011","5793","6655"
"Благоевград","Сандански","2011","11363","5258"
"Благоевград","Сатовча","2011","3139","4885"
"Благоевград","Симитли","2011","1889","4882"
"Благоевград","Струмяни","2011","989","4651"
"Благоевград","Хаджидимово","2011","2146","4681"
"Благоевград","Якоруда","2011","1189","4936"
"Кюстендил","total","2011","32269","6219"
"Кюстендил","Бобов дол","2011","5111","8988"
"Кюстендил","Бобошево","2011","264","4665"
"Кюстендил","Дупница","2011","10111","6059"
"Кюстендил","Кочериново","2011","649","4392"
"Кюстендил","Кюстендил","2011","13945","5653"
"Кюстендил","Невестино","2011","352","5042"
"Кюстендил","Рила","2011","763","4802"
"Кюстендил","Сапарева баня","2011","970","4566"
"Кюстендил","Трекляно","2011","104","5645"
"Перник","total","2011","28396","6080"
"Перник","Брезник","2011","909","5436"
"Перник","Земен","2011","449","4892"
"Перник","Ковачевци","2011","205","4278"
"Перник","Перник","2011","22519","6186"
"Перник","Радомир","2011","3548","6184"
"Перник","Трън","2011","766","4464"
"София","total","2011","57184","8360"
"София","Антон","2011","158","5056"
"София","Божурище","2011","1542","6778"
"София","Ботевград","2011","9470","7436"
"София","Годеч","2011","1405","7474"
"София","Горна Малина","2011","608","5501"
"София","Долна баня","2011","628","4779"
"София","Драгоман","2011","1275","6694"
"София","Елин Пелин","2011","6956","9967"
"София","Етрополе","2011","2761","5448"
"София","Златица","2011","873","5884"
"София","Ихтиман","2011","2731","7081"
"София","Копривщица","2011","415","5671"
"София","Костенец","2011","2386","5501"
"София","Костинброд","2011","5584","9503"
"София","Мирково","2011","..",".."
"София","Пирдоп","2011","2973","12743"
"София","Правец","2011","1543","6603"
"София","Самоков","2011","7922","5761"
"София","Своге","2011","3381","9032"
"София","Сливница","2011","1353","6216"
"София","Чавдар","2011","..","6430"
"София","Челопеч","2011","1180","23756"
"София (столица)","total","2011","681915","11249"
"София (столица)","Столична","2011","681915","11249"
"Кърджали","total","2011","29410","5895"
"Кърджали","Ардино","2011","1777","5404"
"Кърджали","Джебел","2011","1771","5309"
"Кърджали","Кирково","2011","2642","4919"
"Кърджали","Крумовград","2011","2061","5883"
"Кърджали","Кърджали","2011","16774","6347"
"Кърджали","Момчилград","2011","3070","5458"
"Кърджали","Черноочене","2011","1315","4543"
"Пазарджик","total","2011","61892","6368"
"Пазарджик","Батак","2011","1895","6232"
"Пазарджик","Белово","2011","1646","7091"
"Пазарджик","Брацигово","2011","1159","5031"
"Пазарджик","Велинград","2011","8719","5130"
"Пазарджик","Лесичово","2011","566","5192"
"Пазарджик","Пазарджик","2011","28575","6113"
"Пазарджик","Панагюрище","2011","7223","10794"
"Пазарджик","Пещера","2011","5983","5263"
"Пазарджик","Ракитово","2011","1731","4571"
"Пазарджик","Септември","2011","3741","5821"
"Пазарджик","Стрелча","2011","654","4965"
"Пазарджик","Сърница","2011","",""
"Пловдив","total","2011","207599","6889"
"Пловдив","Асеновград","2011","11871","5528"
"Пловдив","Брезово","2011","939","7032"
"Пловдив","Калояново","2011","1666","5863"
"Пловдив","Карлово","2011","8555","5853"
"Пловдив","Кричим","2011","1397","6304"
"Пловдив","Куклен","2011","858","5910"
"Пловдив","Лъки","2011","1107","8910"
"Пловдив","Марица","2011","8905","7935"
"Пловдив","Перущица","2011","874","5309"
"Пловдив","Пловдив","2011","139886","7203"
"Пловдив","Първомай","2011","4618","5753"
"Пловдив","Раковски","2011","6058","6932"
"Пловдив","Родопи","2011","3882","6131"
"Пловдив","Садово","2011","2253","5287"
"Пловдив","Сопот","2011","6250","5956"
"Пловдив","Стамболийски","2011","3304","6367"
"Пловдив","Съединение","2011","3158","5597"
"Пловдив","Хисаря","2011","2018","5635"
