;;хиляди левове;хиляди левове;хиляди левове;хиляди левове;левове;километър;километър;брой;брой;процент;процент;процент;процент;процент;процент;процент;процент;
;;Разходи за придобиване на ДМА;Оборот;Произведена продукция;Добавена стойност по факторни разходи;Средна годишна работна заплата на наетите лица по трудово и служебно правоотношение;Дължина на aвтомагистралите;Дължина на първокласните пътища;Население към 31.12. - общо;Среден списъчен брой на наети лица по трудово и служебно правоотношение;Коефициент на заетост - 15 - 64 навършени години;Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование;Относителен дял на населението на възраст между 25 и 64 навършени години със средно образование;Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;
VID;2005;50591;391822;258122;108333;3234;-;74;117809;22642;42.5;16.6;56.1;27.3;92.9;5.9;1.0;0.2;
VID;2006;58275;511931;319539;85287;3487;-;74;114769;22333;46.6;17.6;59.6;22.8;93.1;5.7;1.0;0.2;
VID;2007;106924;575991;357665;116509;4021;-;74;112604;22121;51.7;16.1;65.5;18.4;92.7;5.9;1.2;0.2;
VID;2008;99839;650094;389450;134919;4799;-;74;110310;21986;54.8;16.7;68.2;15.1;92.9;5.7;1.1;0.3;
VID;2009;76570;599239;365589;134706;5251;-;74;108067;21193;50.8;16.4;67.4;16.2;93.5;5.3;1.1;0.1;
VID;2010;52647;803574;382771;131338;5422;-;74;105837;18359;48.7;18.9;63.7;17.5;93.7;5.2;0.9;0.2;
VID;2011;87704;694954;428398;153323;5532;-;74;99481;18322;50.0;18.1;63.8;18.2;93.6;5.5;0.8;0.1;
VID;2012;113896;666752;502597;172821;5855;-;74;97546;17670;52.2;15.7;69.0;15.3;93.1;5.8;1.0;0.1;
VID;2013;66755;696007;508713;180193;6195;-;74;95467;17665;55.6;14.6;73.3;12.0;93.4;5.6;0.9;0.1;
VID;2014;87319;686203;491494;179708;6663;-;74;93361;17162;55.3;17.2;71.6;11.2;93.8;5.1;1.0;0.1;
VID;2015;158093;709357;516865;196007;7011;-;74;91235;16823;58.8;21.5;68.4;10.1;93.5;5.3;1.1;0.1;
VID;2016;115416;717054;508506;214521;7522;-;74;88867;16474;57.0;18.5;72.1;9.4;93.5;5.4;1.1;0.1;
VID;2017;74324;772492;558169;238595;8233;-;74;86927;16522;56.2;18.5;70.9;10.6;93.4;5.4;1.1;0.1;
VID;2018;72262;827175;590135;247883;9103;-;71;84865;16472;58.8;20.1;68.1;11.8;93.6;5.1;1.2;0.1;
VRC;2005;334231;1604586;1374030;538845;4126;-;59;209124;48439;46.7;18.3;58.2;23.5;89.7;7.8;2.2;0.3;
VRC;2006;322263;1816066;1515847;513255;4555;-;59;205797;49082;51.3;19.2;58.6;22.2;90.5;7.3;1.9;0.3;
VRC;2007;346856;1955992;1617412;625992;5127;-;59;202711;49206;55.8;17.6;63.6;18.8;90.1;7.6;2.0;0.3;
VRC;2008;341383;2387947;2074406;830719;6631;-;59;199702;48438;57.5;17.7;64.2;18.1;90.2;7.7;1.9;0.2;
VRC;2009;328389;2267558;1872285;791546;7696;-;59;196829;47692;56.1;19.0;63.3;17.7;91.5;6.8;1.5;0.2;
VRC;2010;372632;2165705;1866416;896515;8509;-;59;193555;42157;53.1;20.0;63.2;16.8;92.6;5.9;1.3;0.2;
VRC;2011;288984;2342547;2021699;945569;8657;-;59;184662;41118;53.7;18.0;64.3;17.7;92.1;6.3;1.4;0.2;
VRC;2012;269970;2351959;2013207;974386;9231;-;59;181574;40506;52.4;18.2;62.9;18.9;92.0;6.4;1.4;0.2;
VRC;2013;292518;2331128;1905693;825445;9383;-;59;178395;40214;52.1;20.4;61.6;17.9;92.2;6.3;1.4;0.1;
VRC;2014;380498;2446309;2059271;929332;9861;-;65;175169;38608;52.9;22.1;57.5;20.4;92.4;6.1;1.4;0.1;
VRC;2015;320229;2476244;2073569;940931;10332;-;65;172007;37200;50.3;21.1;56.7;22.2;92.4;6.1;1.4;0.1;
VRC;2016;301805;2543542;2087206;952814;10988;-;65;168727;36089;50.0;19.2;56.9;23.9;92.6;5.9;1.4;0.1;
VRC;2017;248733;2780190;2277377;1107562;11460;-;65;165645;38618;55.3;19.9;56.6;23.5;92.4;6.1;1.4;0.1;
VRC;2018;273399;3037657;2525992;1271561;12489;-;65;162549;38126;54.5;21.5;57.7;20.8;92.6;6.0;1.3;0.1;
LOV;2005;148273;1402655;910337;277620;3445;7;106;159214;41437;51.5;19.0;54.2;26.8;89.7;8.0;1.9;0.4;
LOV;2006;215861;1672304;1079085;276729;3752;7;106;157407;41749;59.1;20.2;58.5;21.3;89.3;8.4;1.9;0.4;
LOV;2007;260492;1947889;1253545;362729;4317;7;106;155468;42087;66.7;18.4;63.8;17.8;89.4;8.4;1.9;0.3;
LOV;2008;234849;2118276;1413895;448316;5146;7;106;153474;42073;64.8;18.7;61.1;20.2;89.7;8.4;1.7;0.3;
LOV;2009;129762;1603901;1124652;351495;5715;7;106;151153;37741;64.7;19.6;61.1;19.3;90.8;7.6;1.4;0.2;
LOV;2010;134797;1645762;1129789;342303;5936;7;106;147957;34199;59.8;21.6;61.0;17.4;91.8;6.7;1.3;0.2;
LOV;2011;153826;1841765;1298676;387394;6184;7;106;139609;34597;55.6;21.6;61.6;16.8;91.3;7.2;1.3;0.2;
LOV;2012;149160;1891056;1362993;385546;6509;7;106;137718;34532;52.9;16.4;64.8;18.8;91.9;6.7;1.2;0.2;
LOV;2013;155171;1990363;1478283;416833;6940;7;106;135580;34704;52.2;15.8;62.5;21.8;91.9;6.6;1.3;0.2;
LOV;2014;186744;2092540;1569865;463921;7487;7;105;133513;33989;51.0;18.6;59.1;22.3;92.0;6.5;1.3;0.2;
LOV;2015;301926;2228691;1589824;493639;8033;7;105;131493;33502;54.6;20.5;59.5;20.0;91.9;6.6;1.3;0.2;
LOV;2016;163940;2157870;1588312;485115;8604;7;105;129222;33149;52.4;17.3;59.7;23.0;91.9;6.7;1.2;0.2;
LOV;2017;133260;2340349;1736715;542199;9474;7;105;126961;33296;55.8;17.8;59.8;22.5;92.1;6.6;1.1;0.2;
LOV;2018;145446;2447697;1831343;589489;10317;7;105;124873;32697;60.9;20.9;63.5;15.6;92.5;6.1;1.2;0.2;
MON;2005;82986;746254;479160;181987;3286;-;52;166775;33777;50.4;16.2;56.5;27.3;90.0;7.9;1.8;0.3;
MON;2006;125674;920165;597007;169048;3593;-;52;164057;34668;52.4;16.7;59.3;24.0;89.4;8.6;1.7;0.3;
MON;2007;149233;1140044;802532;233975;4181;-;52;161161;34555;54.7;18.0;61.7;20.3;89.6;8.3;1.8;0.3;
MON;2008;165571;1366970;923836;287665;5137;-;52;158291;34305;58.2;16.0;65.3;18.7;89.9;8.2;1.6;0.3;
MON;2009;105183;1249463;832549;257464;5641;-;52;155899;32136;58.7;15.7;66.8;17.6;91.4;7.1;1.3;0.2;
MON;2010;103405;1380361;960657;283942;6028;-;52;153066;28583;55.4;15.4;68.7;15.9;92.3;6.3;1.3;0.2;
MON;2011;165937;1691719;1129839;331616;6289;-;52;145984;28731;52.9;15.8;68.1;16.1;92.3;6.2;1.4;0.2;
MON;2012;144377;1771011;1198175;353185;6572;-;52;143662;28722;53.3;18.1;65.5;16.3;92.1;6.3;1.4;0.2;
MON;2013;153622;1957474;1298786;357203;6995;-;52;141596;29069;53.0;18.4;66.0;15.6;91.6;6.8;1.4;0.2;
MON;2014;140311;2041256;1359365;394420;7449;-;52;139350;28092;55.9;17.1;64.3;18.6;92.2;6.2;1.4;0.2;
MON;2015;240820;2099420;1427078;430325;7971;-;52;137188;28152;53.7;17.3;63.2;19.5;92.0;6.4;1.4;0.2;
