nutsoblkod,ekatteoblkod,oblime,nuts2kod,nuts2ime
BG311,VID,Видин,BG31,Северозападен
BG313,VRC,Враца,BG31,Северозападен
BG315,LOV,Ловеч,BG31,Северозападен
BG312,MON,Монтана,BG31,Северозападен
BG314,PVN,Плевен,BG31,Северозападен
BG321,VTR,Велико Търново,BG32,Северен централен
BG322,GAB,Габрово,BG32,Северен централен
BG324,RAZ,Разград,BG32,Северен централен
BG323,RSE,Русе,BG32,Северен централен
BG325,SLS,Силистра,BG32,Северен централен
BG331,VAR,Варна,BG33,Североизточен
BG332,DOB,Добрич,BG33,Североизточен
BG334,TGV,Търговище,BG33,Североизточен
BG333,SHU,Шумен,BG33,Североизточен
BG341,BGS,Бургас,BG34,Югоизточен
BG342,SLV,Сливен,BG34,Югоизточен
BG344,SZR,Стара Загора,BG34,Югоизточен
BG343,JAM,Ямбол,BG34,Югоизточен
BG413,BLG,Благоевград,BG41,Югозападен
BG415,KNL,Кюстендил,BG41,Югозападен
BG414,PER,Перник,BG41,Югозападен
BG412,SFO,София,BG41,Югозападен
BG411,SOF,София (столица),BG41,Югозападен
BG425,KRZ,Кърджали,BG42,Южен централен
BG423,PAZ,Пазарджик,BG42,Южен централен
BG421,PDV,Пловдив,BG42,Южен централен
BG424,SML,Смолян,BG42,Южен централен
BG422,HKV,Хасково,BG42,Южен централен
