;;;брой лица в хиляди;
Общо;BG311;2003Q1;30.6;
Общо;BG311;2003Q2;35.6;
Общо;BG311;2003Q3;36.2;
Общо;BG311;2003Q4;32.3;
Общо;BG311;2004Q1;33.1;
Общо;BG311;2004Q2;33.9;
Общо;BG311;2004Q3;31.9;
Общо;BG311;2004Q4;30.5;
Общо;BG311;2005Q1;29.3;
Общо;BG311;2005Q2;32.6;
Общо;BG311;2005Q3;32.3;
Общо;BG311;2005Q4;30.1;
Общо;BG311;2006Q1;29.7;
Общо;BG311;2006Q2;33.5;
Общо;BG311;2006Q3;34.7;
Общо;BG311;2006Q4;36.4;
Общо;BG311;2007Q1;33.6;
Общо;BG311;2007Q2;37.6;
Общо;BG311;2007Q3;40.7;
Общо;BG311;2007Q4;38.8;
Общо;BG311;2008Q1;37.9;
Общо;BG311;2008Q2;37.6;
Общо;BG311;2008Q3;40.4;
Общо;BG311;2008Q4;38.9;
Общо;BG311;2009Q1;34.9;
Общо;BG311;2009Q2;34.5;
Общо;BG311;2009Q3;35.1;
Общо;BG311;2009Q4;36.8;
Общо;BG311;2010Q1;33.3;
Общо;BG311;2010Q2;32.0;
Общо;BG311;2010Q3;32.5;
Общо;BG311;2010Q4;33.5;
Общо;BG311;2011Q1;33.0;
Общо;BG311;2011Q2;29.7;
Общо;BG311;2011Q3;30.6;
Общо;BG311;2011Q4;33.6;
Общо;BG311;2012Q1;32.9;
Общо;BG311;2012Q2;32.2;
Общо;BG311;2012Q3;30.8;
Общо;BG311;2012Q4;31.8;
Общо;BG311;2013Q1;33.7;
Общо;BG311;2013Q2;34.3;
Общо;BG311;2013Q3;32.7;
Общо;BG311;2013Q4;33.7;
Общо;BG311;2014Q1;34.9;
Общо;BG311;2014Q2;32.3;
Общо;BG311;2014Q3;30.5;
Общо;BG311;2014Q4;30.8;
Общо;BG311;2015Q1;32.9;
Общо;BG311;2015Q2;33.8;
Общо;BG311;2015Q3;33.2;
Общо;BG311;2015Q4;33.1;
Общо;BG311;2016Q1;30.7;
Общо;BG311;2016Q2;28.9;
Общо;BG311;2016Q3;31.9;
Общо;BG311;2016Q4;32.8;
Общо;BG311;2017Q1;31.5;
Общо;BG311;2017Q2;30.6;
Общо;BG311;2017Q3;27.5;
Общо;BG311;2017Q4;29.1;
Общо;BG311;2018Q1;30.7;
Общо;BG311;2018Q2;31.0;
Общо;BG311;2018Q3;29.7;
Общо;BG311;2018Q4;29.5;
Общо;BG311;2019Q1;28.8;
Общо;BG311;2019Q2;27.4;
Общо;BG311;2019Q3;28.5;
Общо;BG313;2003Q1;70.6;
Общо;BG313;2003Q2;62.6;
Общо;BG313;2003Q3;63.4;
Общо;BG313;2003Q4;63.4;
Общо;BG313;2004Q1;61.0;
Общо;BG313;2004Q2;65.6;
Общо;BG313;2004Q3;71.1;
Общо;BG313;2004Q4;73.7;
Общо;BG313;2005Q1;59.5;
Общо;BG313;2005Q2;65.9;
Общо;BG313;2005Q3;68.7;
Общо;BG313;2005Q4;68.0;
Общо;BG313;2006Q1;66.4;
Общо;BG313;2006Q2;69.6;
Общо;BG313;2006Q3;70.2;
Общо;BG313;2006Q4;72.4;
Общо;BG313;2007Q1;68.5;
Общо;BG313;2007Q2;76.4;
Общо;BG313;2007Q3;78.7;
Общо;BG313;2007Q4;77.2;
Общо;BG313;2008Q1;74.2;
Общо;BG313;2008Q2;75.1;
Общо;BG313;2008Q3;76.6;
Общо;BG313;2008Q4;78.3;
Общо;BG313;2009Q1;74.8;
Общо;BG313;2009Q2;70.1;
Общо;BG313;2009Q3;72.5;
Общо;BG313;2009Q4;73.6;
Общо;BG313;2010Q1;68.9;
Общо;BG313;2010Q2;68.2;
Общо;BG313;2010Q3;66.6;
Общо;BG313;2010Q4;65.1;
Общо;BG313;2011Q1;64.0;
Общо;BG313;2011Q2;66.8;
Общо;BG313;2011Q3;66.6;
Общо;BG313;2011Q4;66.3;
Общо;BG313;2012Q1;64.3;
Общо;BG313;2012Q2;60.2;
Общо;BG313;2012Q3;62.3;
Общо;BG313;2012Q4;65.2;
